miner_id,blocks_mined,avg_transactions,avg_volume,avg_fee,fee_volatility,avg_block_size,difficulty,efficiency,profitability,avg_fee_real,fee_volatility_real,profitability_real,last_block_id,last_block_time,age,label
0,8110,1112.8760789149198,10848.979161779438,19107428.891471606,73029959.73530664,636997.4431565967,7822986293738.625,0.10257887514757513,19105073.14878988,33277418.073612824,71930217.68851955,33273315.322031807,810900,2023-10-06 11:54:39+00:00,30.0,0
1,8110,1113.2482120838472,10876.172793717184,18822074.01532116,55467248.97797168,633592.2459926017,7822986293738.625,0.10235661323134114,18819753.453859527,34263210.10924784,77697109.46052113,34258985.819997534,810901,2023-10-06 12:01:05+00:00,386.0,0
2,8110,1120.4627620221947,10749.63344307129,19343609.96580066,95175182.4540315,632985.5474722565,7822986293738.625,0.1042326482996765,19341225.10450541,33511367.089889027,76956167.85185854,33507235.494883493,810902,2023-10-06 12:15:02+00:00,837.0,0
3,8110,1099.984956843403,10317.032438322634,18383928.441632178,59592572.98642355,631024.890998767,7822986293738.625,0.10661834819452544,18381661.898857966,33645309.85585697,78493274.9306467,33641161.74713352,810903,2023-10-06 12:27:41+00:00,759.0,0
4,8110,1123.2255240443897,11427.595816707626,20725251.906093664,149297994.50759736,633191.8479654747,7823308605144.058,0.09829062403503004,20722696.703047667,34068366.500863135,76573678.66847445,34064166.233756624,810904,2023-10-06 12:36:45+00:00,544.0,0
5,8110,1117.9822441430333,10802.388055637499,19635321.808914747,71514892.0081218,636626.1616522812,7823308605144.058,0.1034939902533387,19632900.98265301,33498201.173982736,74850140.89762034,33494071.20219455,810905,2023-10-06 12:45:49+00:00,544.0,0
6,8110,1117.3734895191121,9933.392749372586,18118770.33710568,50123873.93673027,636283.3057953144,7823308605144.058,0.11248659120918936,18116536.485504508,33379897.032922316,70685021.30835524,33375781.646775983,810906,2023-10-06 12:50:15+00:00,266.0,1
7,8110,1116.194944512947,10701.430328769899,18724283.18129629,69778610.35680655,636561.35351418,7823308605144.058,0.1043033417235868,18721974.676404007,32974806.838840935,68096862.70928478,32970741.396005426,810907,2023-10-06 13:37:00+00:00,2805.0,0
8,8110,1111.7681874229347,10136.224152101307,17807662.81072738,51139572.31487965,635394.4528976572,7823222102635.517,0.10968267579129531,17805467.315374065,36763571.93723798,331109068.7678989,36759039.37997781,810908,2023-10-06 13:37:21+00:00,21.0,1
9,8109,1108.706498951782,10435.620666487795,18754520.301790603,55063062.263453044,639320.2937476877,7817117985466.121,0.10624250673580884,18752207.78387423,33124988.28770502,74326169.01035355,33120903.825524043,810809,2023-10-05 23:52:08+00:00,360.0,0
10,8109,1120.3227278332718,10360.90805450642,18820867.118955392,47149770.86308295,636017.8322851153,7817117985466.121,0.10812978186268966,18818546.42017377,33141738.290541373,69785485.69356053,33137651.76300863,810810,2023-10-05 23:53:21+00:00,73.0,1
11,8109,1114.013071895425,10604.182271890637,18810881.053944867,95961706.98473375,639540.1725243557,7817117985466.121,0.10505412330079654,18808561.58649062,32365301.39252682,66242378.750610374,32361310.60320592,810811,2023-10-05 23:53:32+00:00,11.0,0
12,8109,1109.295104205204,10083.22878112695,17663550.492256712,44025452.82063594,631390.2454063386,7817394870539.799,0.11001387832054266,17661372.49589515,32743711.060550008,73815428.22506298,32739673.611590628,810812,2023-10-06 00:05:52+00:00,740.0,1
13,8109,1117.9043038599089,10387.070791748565,17887526.955407675,44681409.51853356,636405.8400542607,7817394870539.799,0.10762459660406459,17885321.34172637,32735780.885559253,69737197.1238659,32731744.414426632,810813,2023-10-06 00:36:01+00:00,1809.0,1
14,8109,1114.2672339376002,10212.442147783311,17883612.20574644,43762838.58939651,635346.0956961401,7817394870539.799,0.10910879276602328,17881407.074771624,33572137.392280184,83845975.10600431,33567997.794574596,810814,2023-10-06 00:37:56+00:00,115.0,1
15,8109,1112.9459859415465,10400.50925397916,18525518.890085425,50715541.23692601,638807.7545936614,7817394870539.799,0.10700879723900387,18523234.609087884,32817827.166358367,69005825.81626378,32813780.578545008,810815,2023-10-06 00:44:11+00:00,375.0,0
16,8109,1114.685534591195,10107.951241276189,17747137.661566094,61333395.369680054,636997.7129115798,7818679811042.091,0.11027808781261483,17744949.358525213,33151905.694660254,74040362.87195112,33147817.913440198,810816,2023-10-06 00:53:25+00:00,554.0,1
17,8109,1116.1751140707856,10287.854626690067,18214105.148060154,58995769.086060844,637798.9211986682,7818679811042.091,0.10849444850969735,18211859.265797753,32365150.504377853,65676187.51289426,32361159.733662147,810817,2023-10-06 00:59:14+00:00,349.0,1
18,8109,1113.940313232211,10491.072433364154,18798197.501129474,61442646.883658044,634631.373412258,7818679811042.091,0.10617983245349681,18795879.597615156,32742084.034406215,69628793.28628078,32738046.786066584,810818,2023-10-06 01:00:44+00:00,90.0,0
19,8109,1119.3329633740289,11302.358169964426,18749652.34303507,54652025.8792271,637714.7115550623,7818679811042.091,0.09903534700824765,18747340.425360218,32880036.23998027,67133736.91763696,32875981.981504317,810819,2023-10-06 01:13:59+00:00,795.0,0
20,8109,1110.415340979159,10426.218345595884,18194113.14417161,58934361.97775822,636238.134048588,7818664358907.108,0.1065022143381546,18191869.7270145,32486779.337279566,73103009.43280324,32482773.56917386,810820,2023-10-06 01:35:20+00:00,1281.0,0
21,8109,1102.6046368232828,10563.6324643456,19311429.701387897,120217560.78127739,636399.6018004686,7818664358907.108,0.10437741378684771,19309048.51400178,33223486.6487853,77209133.1025128,33219390.04130703,810821,2023-10-06 01:47:09+00:00,709.0,0
22,8109,1119.143544210137,10317.620489396952,17974639.770150486,50848911.60423824,635498.4359353804,7818664358907.108,0.10846915190960281,17972423.41506169,33341912.25083241,72950849.29691401,33337801.040937115,810822,2023-10-06 01:59:08+00:00,719.0,1
23,8109,1129.2040942163028,10259.447272372874,18079243.517271783,60650112.99087288,642838.831915156,7818664358907.108,0.11006480799964409,18077014.264063735,32727660.73251942,67544641.23228201,32723625.262638718,810823,2023-10-06 02:18:29+00:00,1161.0,1
24,8109,1113.9004809470957,10088.799630081874,17794229.322273534,50221721.021477975,637513.1631520533,7819400315599.237,0.11040961479953047,17792035.212616038,32592503.593291406,68033572.7047952,32588484.78890259,810824,2023-10-06 02:22:06+00:00,217.0,1
25,8109,1124.2764829202122,10283.623018088449,18509020.334540777,47944378.9040902,640765.811690714,7819400315599.237,0.10932688615116959,18506738.0878904,32751601.434578862,66948133.42478066,32747563.01270037,810825,2023-10-06 02:23:09+00:00,63.0,1
26,8109,1111.475890985325,10163.304659055906,18683068.692507986,124931319.10535128,637552.4195338513,7819400315599.237,0.10936166220254419,18680764.98490102,32767911.583179183,69385614.54554692,32763871.150184955,810826,2023-10-06 02:32:48+00:00,579.0,1
27,8109,1109.0103588605252,10736.266120123742,18731656.119888093,55735025.59791418,633533.7041558762,7819400315599.237,0.10329572185079554,18729346.42122966,33071752.868911088,69891938.90725127,33067674.970900122,810827,2023-10-06 02:35:32+00:00,164.0,0
28,8109,1111.0342828955481,10399.295689761777,18522079.588230662,50811185.38750044,631745.7216672832,7820040022416.134,0.10683745477006361,18519795.731314726,32927678.865211494,68723823.08117102,32923618.73218249,810828,2023-10-06 02:44:38+00:00,546.0,0
29,8109,1121.273399926008,10700.498408933874,18780626.446468484,66063590.78976642,639533.4023924035,7820040022416.134,0.10478702552675015,18778310.709545366,33108906.47416451,73361850.03809914,33104823.994944513,810829,2023-10-06 02:45:00+00:00,22.0,0
30,8109,1127.0218275989641,10838.527670750605,18267434.867532887,49530013.44222006,643594.7306696264,7820040022416.134,0.10398292663313466,18265182.409472775,33073065.257245038,72557462.45889367,33068987.197410606,810830,2023-10-06 02:48:44+00:00,224.0,0
31,8109,1103.4982118633618,10533.397035072216,18466985.223381426,64841209.50939652,634326.5762732766,7820040022416.134,0.10476185490673394,18464708.159852035,33823090.317301765,134273638.41982004,33818919.77595561,810831,2023-10-06 02:55:50+00:00,426.0,0
32,8109,1105.6299173757554,10262.71716942979,18664384.145487677,91189424.07451886,632913.9993834011,7820612235672.455,0.10773266953795219,18662082.741770603,32663661.967073623,71139559.50777891,32659634.388532676,810832,2023-10-06 03:18:03+00:00,1333.0,1
33,8109,1123.6939203354298,10529.428150540032,18257498.006311588,51598855.106998906,636243.0820076459,7820612235672.455,0.10671936825721073,18255246.773511797,34245752.47428783,95969051.54829787,34241529.81676942,810833,2023-10-06 03:22:54+00:00,291.0,0
34,8109,1114.2901714144778,10212.090252141203,17790775.494762734,45536269.37044013,634416.6778887656,7820612235672.455,0.10911479862614137,17788581.81097793,33131663.64422247,69553350.85400297,33127578.35893958,810834,2023-10-06 03:26:08+00:00,194.0,1
35,8109,1115.921445307683,10138.04563174067,17981161.149312682,44583935.21475231,637426.9258848194,7820612235672.455,0.11007263982061725,17978943.990108084,35782231.33259341,205074586.0550334,35777819.22022195,810835,2023-10-06 03:26:41+00:00,33.0,1
36,8109,1112.9742261684548,11008.031461744267,20081626.591350015,166536107.9020111,636392.2182759896,7821375739949.324,0.10110565454288759,20079150.435173523,34463441.94438279,141212357.7452276,34459192.444759555,810836,2023-10-06 03:51:20+00:00,1479.0,0
37,8109,1110.41928721174,10296.125728179895,18453594.39300664,68647331.67931253,637729.1559995067,7821375739949.324,0.10784826414585046,18451318.980627727,33160126.316561844,69230421.35422926,33156037.521701604,810837,2023-10-06 03:59:59+00:00,519.0,1
38,8109,1099.9847083487482,10149.454974628416,17542988.91266926,46834139.91032666,632398.6125292884,7821375739949.324,0.10837869728949771,17540825.782100495,34522454.337772846,119598093.16985135,34518197.56165228,810838,2023-10-06 04:17:23+00:00,1044.0,1
39,8109,1104.2176593908002,10763.413254875428,18561118.761094205,59845956.590695575,634085.0147983722,7821375739949.324,0.10258991578628907,18558830.09047015,32997861.049697865,70088652.91040392,32993792.26288533,810839,2023-10-06 04:17:46+00:00,23.0,0
40,8109,1103.9991367616228,10470.955332151063,18304439.62536457,53637209.75908399,633223.6216549512,7821658233395.68,0.10543442329198832,18302182.60444899,33135949.6806018,75604771.12240514,33131863.86683107,810840,2023-10-06 04:28:34+00:00,648.0,0
41,8109,1102.8830928597854,10365.171654468339,18726836.305736735,85022029.30046254,633700.4387717351,7821658233395.68,0.10640278131662541,18724527.201383375,32956582.86570477,71804215.9577094,32952519.16868064,810841,2023-10-06 04:39:41+00:00,667.0,0
42,8109,1113.2571217166112,10423.044241310616,18169151.46928062,45971407.3429865,635703.2079171292,7821658233395.68,0.10680729122344405,18166911.130011905,35496560.520286106,232616033.4378234,35492183.6324291,810842,2023-10-06 04:41:38+00:00,117.0,0
43,8109,1110.076951535331,9868.449261618662,17807669.074249405,50481716.8435929,634776.7577999753,7821658233395.68,0.11248747620891546,17805473.30740918,33185880.21839931,91627390.30065566,33181788.247965474,810843,2023-10-06 04:59:00+00:00,1042.0,1
44,8109,1103.3666296707363,10089.380824426215,18098547.46728746,53705493.125746995,636902.2890615365,7821687802105.601,0.10935920140900972,18096315.833814304,33299723.220372427,72661575.64950764,33295617.212577064,810844,2023-10-06 04:59:59+00:00,59.0,1
45,8109,1112.222838821063,10827.323096613429,19639759.147938512,161041589.22534025,638486.6817116784,7821687802105.601,0.1027237137837737,19637337.47603371,32958738.535947714,71605407.57136159,32954674.573119607,810845,2023-10-06 05:12:20+00:00,741.0,0
46,8109,1110.9295844123812,10832.48002459941,19013556.919450905,74641961.37430938,636648.3411024787,7821687802105.601,0.10255542423244499,19011212.46113778,33632093.65778764,113308164.85304694,33627946.66720099,810846,2023-10-06 05:13:02+00:00,42.0,0
47,8109,1121.2431865828091,11079.567524038943,20042486.7251255,91894258.73730977,641939.0929831052,7821687802105.601,0.10119918346541835,20040015.39507308,33742307.72450364,73796813.62504351,33738147.14401973,810847,2023-10-06 05:16:37+00:00,215.0,0
48,8109,1109.0056727093354,11179.628867581278,20238960.035459895,125422371.00559083,635688.0368726107,7821692820008.258,0.09919879146660532,20236464.479351945,32841551.583055865,69170482.4413616,32837502.069913685,810848,2023-10-06 05:34:09+00:00,1052.0,0
49,8109,1107.2616845480331,10447.86204964003,18313570.837028295,56520822.60977523,634487.7679121963,7821692820008.258,0.1059797381786905,18311312.690192655,32793160.855592553,67742741.9852817,32789117.309247844,810849,2023-10-06 05:36:22+00:00,133.0,0
50,8109,1116.3068195831793,10122.987005663219,17790233.10101071,47669886.21295589,641856.3660130718,7821692820008.258,0.11027444952350138,17788039.48410553,33488226.368602786,75036528.44318229,33484097.11750925,810850,2023-10-06 05:38:56+00:00,154.0,1
51,8109,1112.0082624244667,9959.81486426702,17890255.304940976,45170564.46558128,637091.9454926625,7821692820008.258,0.11164949123842893,17888049.354841724,33187901.15365643,72032438.35518192,33183808.93403206,810851,2023-10-06 05:44:12+00:00,316.0,1
52,8109,1127.2874583795783,11050.941653806954,19220819.334787633,66546419.80745396,641596.0467381921,7821927310339.327,0.10200827166535038,19218449.32007311,33413877.45862622,71294691.15331635,33409757.375092477,810852,2023-10-06 05:46:39+00:00,147.0,0
53,8109,1116.5485263287705,10918.484588666588,19031267.612622783,69250951.73584324,637092.9363669996,7821927310339.327,0.10226222487758495,19028920.970500387,32998104.43433222,69120349.67241015,32994035.61750925,810853,2023-10-06 05:52:59+00:00,380.0,0
54,8109,1109.2248119373535,10319.850516289098,18155697.129289385,45656461.095318645,636203.0953261808,7821927310339.327,0.10748458131117491,18153458.449002173,33877792.00480947,75330083.63715218,33873614.71849568,810854,2023-10-06 06:11:11+00:00,1092.0,1
55,8109,1113.8665680108522,10412.513615411439,18535736.668178506,72674555.49472451,634999.3740288569,7821927310339.327,0.10697384024181485,18533451.12728231,33172016.0517943,88292662.73419109,33167925.79087546,810855,2023-10-06 06:26:06+00:00,895.0,0
56,8109,1108.8181033419658,10357.533960977677,18175062.19002649,56327331.64946691,638011.7496608706,7821606185986.362,0.10705425707696103,18172821.12193894,33375880.374275498,76256898.71209276,33371764.97595561,810856,2023-10-06 06:33:08+00:00,422.0,0
57,8109,1100.5045011715379,10142.58120606006,17425756.214252427,42696081.101385795,634824.3757553336,7821606185986.362,0.10850339561628476,17423607.539010227,33039687.907756813,79108177.82682681,33035613.96350185,810857,2023-10-06 06:35:07+00:00,119.0,1
58,8109,1103.8544826735726,10655.187021883512,18416381.65425554,52411177.12387288,636387.2657541004,7821606185986.362,0.10359785148832998,18414110.830377083,32842271.56973733,70411870.31709027,32838221.967817508,810858,2023-10-06 06:47:11+00:00,724.0,0
59,8109,1107.5294117647059,10421.42084762223,18441929.75730945,56141781.496345386,637615.4475274386,7821606185986.362,0.106274319784072,18439655.783233333,32742806.42520656,73083268.26786724,32738769.087792847,810859,2023-10-06 07:11:16+00:00,1445.0,0
60,8109,1106.427672955975,10036.04148824187,18258779.678688888,54102731.38450789,635930.5121469971,7821743541007.68,0.1102454263717567,18256528.287853044,33279231.236034036,74061873.41657071,33275127.754993834,810860,2023-10-06 07:26:50+00:00,934.0,1
61,8109,1117.5017881366382,10388.789829099835,18586006.515813112,52788095.147054486,636646.8205697373,7821743541007.68,0.10756804271911617,18583714.77641535,33279909.18522629,71486391.425603,33275805.62059186,810861,2023-10-06 07:32:50+00:00,360.0,1
62,8109,1113.7517573066962,10810.185755047369,19234038.177668456,81114996.87284471,635992.0378591688,7821743541007.68,0.10302799438821603,19231666.533010297,34728233.703539275,122564788.99985868,34723951.5538841,810862,2023-10-06 07:41:52+00:00,542.0,0
63,8109,1116.9284745344678,10495.544597343276,18547573.672521953,55017859.70038904,642866.5565421137,7821743541007.68,0.10641929670015295,18545286.672069114,32890936.428289555,70524130.64799595,32886880.825770654,810863,2023-10-06 07:46:47+00:00,295.0,0
